ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Role_Model_Type
12,17,Right-Handed,157,4,Car,10,Rowing,500,500,100,1000,1000,1000,20,Same length,8,8,Same length,May,Fall,Art,10,14,4,"Myspace, Facebook, other social networking sites, or blog",450,600,70,20,10,30,0,100,100,100,100,100,Some,Graduate degree,Invisibility,Rich,Business person
12,18,Right-Handed,157,1,Car,7,Walking/Hiking,900,700,700,950,900,980,18,Same length,9,7,Index finger,October,Fall,Social studies,7,9,3,Text messaging,150,200,6,1,14,12,0,0,10,28,30,24,Some,Graduate degree,Invisibility,Happy,Friend
10,15,Right-Handed,162,1,Rail (Train/Tram/Subway),40,Basketball,750,500,400,500,300,300,8.5,,6.5,6.3,Index finger,May,Summer,Art,7,9,3,In person,10,7,17,12,5,2,6,1,17,2,6,10,Some,Undergraduate degree,Telepathy,Famous,Actor
11,18,Right-Handed,180.9,1,Bus,50,Walking/Hiking,0,321,626,1000,604,47128,28.5,Right foot,88,75,Index finger,April,Summer,History,8,8,3,Text messaging,100,100,0,1,3,5,0,0,4,6,4,2,None,High school,Telepathy,Happy,Actor
10,15,Right-Handed,173,3,Car,10,Athletics,1000,1000,1000,800,200,200,17,Same length,76.4,73,Index finger,May,Fall,Art,6,9,4,Text messaging,90,90,10,1,18,1,2,10,10,10,40,10,A lot,Graduate degree,Telepathy,Happy,Actor
10,16,Left-Handed,174,2,Rail (Train/Tram/Subway),45,Cycling,1000,1000,850,900,900,900,22,Same length,73,730,Same length,May,Spring,History,6,11,3,Internet chat or instant messaging,20,22,6,1,12,7,2,3,6,40,35,5,Some,Graduate degree,Telepathy,Healthy,Relative
10,15,Right-Handed,160.2,2,Rail (Train/Tram/Subway),45,Dancing,200,100,400,500,1000,10000,274,Left foot,70,80,Ring finger,December,Fall,Languages,5,8,6,Text messaging,10,20,5,15,3,2,1,2,15,8,24,2,Some,Graduate degree,Telepathy,Healthy,Actor
11,18,Left-Handed,165.1,1,Car,20,Soccer,900,800,1000,650,800,1000,24.76,Same length,75,70,Index finger,January,Fall,Physical education,8,9,4,Cell phone,85,115,15,4,10,15,20,4,8,2,18,4,Very little,Graduate degree,Freeze time,Healthy,Politician
10,16,Right-Handed,170,1,Rail (Train/Tram/Subway),45,Other,900,900,900,450,100,500,8,Same length,20,20,Index finger,April,Spring,Social studies,5,6,4,Cell phone,5,4,5,3,12,2,2,1,14,2,10,5,Some,Graduate degree,Fly,Happy,Politician
12,18,Right-Handed,168,1,Car,30,Dancing,775,610,690,567,845,947,23,Right foot,7.4,7,Index finger,September,Fall,English,7,9,2,Text messaging,74,80,10,1,19,7,4,0,21,3,24,9,Some,Graduate degree,Telepathy,Happy,Friend
